name,type,definition
arm,string,Branch label B0/B1/B2/B3
role,string,Registered role of the arm
tl_val_bpb_full,float,Tagalog full-validation bits per UTF-8 byte
en_val_bpb_full,float,English full-validation bits per UTF-8 byte
en_note,string,Notes; B0 English is descriptive only
b2_en_test_bpb,float,Secondary English holdout BPB; B2 only
b2_tl_test_bpb,float,Secondary Tagalog legacy holdout BPB; B2 only
C_tl_vs_B1,float,For B2: C_tl; for B3: C_tl(B3)
G_en_vs_B1,float,For B2: G_en; for B3: G_en(B3)
not_mitigation,string,true for B3 trade-off arm
variable,string,Long-facts variable name
value,string,Long-facts value
description,string,Long-facts description
artifact,string,Hashed artifact role
path_or_label,string,Relative path or label
sha2_256,string,SHA-256 of a FILE with sha2-256: prefix; not a participant ID
