code_id,relative_path,filename,extension,bytes,sha2_256,language,role_family,gates_crosswalk,purpose,header_or_docstring,bingo_column,researchbox_id,aspredicted_id,p6_run_id,zip_member_path,upload_note
P6-CODE-001,scripts/p6/break_glass.py,break_glass.py,.py,1144,sha2-256:ab2e1b5e3e505f9407a12f84c6339c2cefca5b708ac7fbfc89921695f2818ea3,python,incident,any,Break-glass / deviation event writer,#!/usr/bin/env python3,Code,8918,307969,p6-20260824T155226Z-769f807a,scripts_p6/break_glass.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P6-CODE-002,scripts/p6/continue_from_frozen.py,continue_from_frozen.py,.py,5592,sha2-256:93b0c09dc1776f20f507ddf656eb48b40ece3677cb73a8e8b38650c2e3c533a4,python,train,"R,S,T",Continue from frozen C0,#!/usr/bin/env python3,Code,8918,307969,p6-20260824T155226Z-769f807a,scripts_p6/continue_from_frozen.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P6-CODE-003,scripts/p6/dummy_c3_test.py,dummy_c3_test.py,.py,1590,sha2-256:40cbec85a3c4b2df9a073e52789348553056acf930b88743f18dba7a7a1cfef2,python,test,0,Dummy lockbox harness,#!/usr/bin/env python3,Code,8918,307969,p6-20260824T155226Z-769f807a,scripts_p6/dummy_c3_test.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P6-CODE-004,scripts/p6/dummy_p0t.py,dummy_p0t.py,.py,1189,sha2-256:d34c9e85eb33904de92ab928bbe877d8cdd0d4e40a7b438ba201bd6285e9e9ba,python,test,0,Dummy lockbox harness,#!/usr/bin/env python3,Code,8918,307969,p6-20260824T155226Z-769f807a,scripts_p6/dummy_p0t.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P6-CODE-005,scripts/p6/env.cuda.sh,env.cuda.sh,.sh,1163,sha2-256:5a1b0246fb67cbabeee71c7820cfeab4144492d512fd23b26b38fd9bcbe35000,bash,env,H–W,CUDA pod environment,#!/usr/bin/env bash,Code,8918,307969,p6-20260824T155226Z-769f807a,scripts_p6/env.cuda.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P6-CODE-006,scripts/p6/env.sh,env.sh,.sh,2494,sha2-256:42919b175e5d2a4775ae38e67b29d792e74e68c390b6b0783cd0db8eb8ab761e,bash,env,A–W,CPU/local environment,# P6 environment — CPU gates A–G after Gate 0.,Code,8918,307969,p6-20260824T155226Z-769f807a,scripts_p6/env.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P6-CODE-007,scripts/p6/evaluate_bpb.py,evaluate_bpb.py,.py,16398,sha2-256:3d1615ec97169267727574ae86729a7aa06d5dcf327706838ab69e53e395d602,python,evaluator,"P0-T,U,V",Official val/test BPB,#!/usr/bin/env python3,Code,8918,307969,p6-20260824T155226Z-769f807a,scripts_p6/evaluate_bpb.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P6-CODE-008,scripts/p6/fill_paper_from_released.py,fill_paper_from_released.py,.py,5783,sha2-256:7b8a6d13b7213482aadfa3ed1f03a54b540c8ca3e88935da4031c5136440586e,python,paper,W,Insert released scalars into paper,#!/usr/bin/env python3,Code,8918,307969,p6-20260824T155226Z-769f807a,scripts_p6/fill_paper_from_released.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P6-CODE-009,scripts/p6/forbidden_parents.py,forbidden_parents.py,.py,2297,sha2-256:895cab9fca84282d5192b494b6af4aa3a27b9f89e7fdf4d93984b79dcf18432d,python,lib,R–T,Reject foreign parents,#!/usr/bin/env python3,Code,8918,307969,p6-20260824T155226Z-769f807a,scripts_p6/forbidden_parents.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P6-CODE-010,scripts/p6/gate0_accept.py,gate0_accept.py,.py,14924,sha2-256:f1488929a2d944e8f64259c71130ae3b069c7b00ed1f280b4229781d6021c604,python,gate0,0,Lockbox acceptance,#!/usr/bin/env python3,Code,8918,307969,p6-20260824T155226Z-769f807a,scripts_p6/gate0_accept.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
