artifact,path_or_label,sha2_256
aspredicted_pdf,docs/run-cards/p6/AsPredicted-307969.pdf,sha2-256:769f807a00264a996b02c38b83ee2cf6c23c4981e36fb477dfc1959fa918a1e7
addendum_md,docs/papers/p6-m-schedule-topology/P6-M-PREFILING-ADDENDUM.md,sha2-256:df49664809ada69d23dcd2c799e75b30f0fdb9afd7aee12b071ac24ef2f81082
gate_plan_md,docs/papers/p6-m-schedule-topology/P6-M-GATE-PLAN-FILED.md,sha2-256:d8a63608608c59d2c4d9882e5346625462056c331094942a8a01d496697a1c79
topology_manifest,manifests/p6/p6_topology_schedule_manifest.json,sha2-256:d1e7d5af7247a572e319ee003b5f4e3da5d1fb1592e5ed9ff6b22eeec15ea606
nanochat_pin,vendor/nanochat @ 92d63d4,sha2-256:92d63d4e8bb4df75c3b71618f31ddde2378b2bcd
evaluate_bpb_py,scripts/p6/evaluate_bpb.py,sha2-256:a22a566b71ac9b768543e052e78576f6b079d5c88066f3ec2f8bfef600e17481
mix_manifest,manifests/p6/p6_mix_identity.json,sha2-256:f203c615266bc8c33c358c1de397715791cae33536a9743c8a6bf8cd543cb107
paper_pdf,docs/papers/p6-m-schedule-topology/paper_outputs/paper.pdf,sha2-256:d350cd3134b3ca023077b22e796ae7670c77ef0f502e1a51501bf0352424d8db
released_contrasts,released/p6-s4-released-contrasts.json,sha2-256:d376643af19969f2ee127afcc4696de3a4821c8188fa6e7003d190d5f4031911
validation_seal,released/p6-s4-validation-seal.json,sha2-256:23f9a94483532f5b7d51f4a27f77436cafd440f30c11fac5e0ea2dfa0aa095ae
unblinding_event,docs/run-cards/p6/.../P6_UNBLINDING_EVENT.json,sha2-256:b141d4b168cc19e522e3dc607f8272cbeca8aeb879cfd76d17ffccc3ef682182
c0_checkpoint,p6-s4-c0-tl-d20/model_000294.pt,sha2-256:7fbd24de792aa4ee27d841866db2114e0fb45b1fdcaa4edcc9b24582220123c9
