Variable,Variable Name,Description
var1,code_id,"Stable, human-readable primary key for one row in p6_code_crosswalk.csv. Format P6-CODE-NNN with zero-padded three-digit ordinals assigned by sorting scripts/p6/*.py then *.sh alphabetically at inventory time (e.g. P6-CODE-001 = break_glass.py). Uniquely identifies a Code.zip member for citation, audit, and ResearchBox preview. Not a participant ID, Prolific ID, seed, BPB scalar, or AsPredicted number. Scope is this ResearchBox #8918 deposit only; do not reuse IDs across P1.1–P5 boxes."
var2,relative_path,"Path of the inventoried file relative to the git repository root of github.com/pageman/nanochat-filipino (forward-slash POSIX form). Always begins with scripts/p6/. Example: scripts/p6/gate_x_unblind.py. Locates the same bytes in a clone or GitHub browse URL. Not a Runpod absolute path (/root/...), not a Hugging Face weight path, and not a Data-chip CSV path."
var3,filename,"Basename only: last path component of relative_path, with extension, no directory prefix. Example: gate_u_seal.py. Matches the leaf name used inside Code.zip under scripts_p6/. Useful for quick visual matching when dragging files. Does not encode gate letter, seed, BPB, or SHA."
var4,extension,"File extension including the leading dot. Allowed values in this inventory: .py (Python 3 gate/evaluator/helpers) or .sh (bash launchers sourced under scripts/p6/env*.sh). No .md, .json, .csv, .pt, .pkl, or lockbox plaintext appear in Code.zip. If extension is absent or other, the packer would have flagged a non-code Code.zip member."
var5,bytes,"Integer on-disk size in bytes of the regular file at inventory generation time (UTC of pack_researchbox_bingo.py run), from Python Path.stat().st_size. Useful to spot truncated uploads or accidental empty stubs. Not token count, not parameter count, not UTF-8 character count, and not the size of the wrapping .zip chip. Re-stat after edits; a changed byte length implies a new sha2_256."
var6,sha2_256,"Cryptographic content digest of the exact file bytes, computed as SHA-256 over the full binary/text contents, then prefixed with the literal token sha2-256: (e.g. sha2-256:ab2e1b5e…). Purpose: prove the Code.zip member matches the audited script without redistributing secrets. CRITICAL: this is a FILE hash, not a human/participant/Prolific ID; ResearchBox false-positive ID scanners should be ignored. Not a model checkpoint hash, not AsPredicted PDF SHA, not tokenizer SHA (those live in p6_hashes.csv). Changing even one character changes this value."
var7,language,Coarse implementation language label used for ResearchBox code search/preview. python = .py files intended for python3 under the pinned nanochat checkout. bash = .sh launchers. Does not imply a ResearchBox-executable runner; reviewers execute offline with scripts/p6/env.sh or env.cuda.sh. Not the training corpus language (Tagalog/English).
var8,role_family,"Functional family tag grouping scripts by operational role in the P6-M gate spine. Typical values include: gate0, gateA–gateW / gateX / gateP0T / gateQ / gateR / gateS / gateT / gateU / gateV (gate-specific), lib (shared helpers), env (environment), train (parent/child trainers), evaluator (official BPB), seal, prefile (topology schedule builders), deposit (ResearchBox packer), release, ops (tier-2 sync), incident (break-glass / technical accept), test (dummy lockbox harnesses only), paper, other. Tags aid navigation; they do not authorize skipping a gate or amending filed science."
var9,gates_crosswalk,"Which filed P6-M gate(s) or stage the file serves, as a short string (e.g. 0, A, H–W, R,S,T, P0-T, U, V, X, W, any, prefile). Multi-gate files may list ranges or comma-separated labels. Maps Code.zip members onto the SHA-bound gate plan (P6-M-GATE-PLAN-FILED.md). Not a pass/fail receipt; receipts are JSON under Other. Parent seed is always 4 when a seed is implied; this study is not a multi-seed panel."
var10,purpose,"One-line operational description of what the script does in the study workflow (authorize, preflight, train, seal, unblind, pack deposit, refuse unsafe paths, etc.). Descriptive metadata only: it is NOT a confirmatory BPB value, NOT a ΔTL/ΔEN classification, NOT a Policy A test scalar, and NOT a substitute for reading the script or the gate receipt. Dummy harness purposes (Gate 0) are synthetic lockbox tests only."
