code_id,relative_path,filename,extension,bytes,sha2_256,language,role_family,gates_crosswalk,purpose,header_or_docstring,bingo_column,researchbox_id,aspredicted_id,p4_run_id,zip_member_path,upload_note
P4-CODE-001,scripts/p4/break_glass.py,break_glass.py,.py,1144,sha2-256:8a2e219285a681a27bec2603c0c7fbf7d8d5cfb575c0bd3263180b1aaf85dc4b,python,incident,any,Break-glass / deviation event writer,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/break_glass.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-002,scripts/p4/continue_from_frozen.py,continue_from_frozen.py,.py,5660,sha2-256:07212931d36f5b19ef7c7b8854ca7d0488aa7db82f62956ff4dfdd062c3082e4,python,train,"R,S,T",Continue from frozen C0 with fresh optimizer,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/continue_from_frozen.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-003,scripts/p4/dummy_c3_test.py,dummy_c3_test.py,.py,1590,sha2-256:40cbec85a3c4b2df9a073e52789348553056acf930b88743f18dba7a7a1cfef2,python,test,0,Dummy lockbox / unit harness (nonconfirmatory),#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/dummy_c3_test.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-004,scripts/p4/dummy_p0t.py,dummy_p0t.py,.py,1189,sha2-256:d34c9e85eb33904de92ab928bbe877d8cdd0d4e40a7b438ba201bd6285e9e9ba,python,test,0,Dummy lockbox / unit harness (nonconfirmatory),#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/dummy_p0t.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-005,scripts/p4/env.cuda.sh,env.cuda.sh,.sh,1349,sha2-256:b1543913bedc0d7e1aca77731d0e2f693771aaaad639f12ba2ce106dc41165ae,bash,env,H–W,CUDA pod environment; never p1/p2/p3 env,#!/usr/bin/env bash,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/env.cuda.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-006,scripts/p4/env.sh,env.sh,.sh,2324,sha2-256:258b4460b0d418fdfeb5f66c5de2df21ce62868be83184aad56a2bbcf121d77d,bash,env,A–W,CPU/local environment; never p1/p2/p3 env,# P4 environment — CPU gates A–G after Gate 0.,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/env.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-007,scripts/p4/evaluate_bpb.py,evaluate_bpb.py,.py,15845,sha2-256:9afebdb405aaac0bb4287051d9b6f5d16f56d6dd9269a1e6c2c5df29becbced1,python,evaluator,"P0-T,U,V",Official val/test BPB; frozen formula,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/evaluate_bpb.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-008,scripts/p4/fill_p4_tables.py,fill_p4_tables.py,.py,5185,sha2-256:7e297b715d8a6abfe208aebf523936abb458757e9cb167ec6a67303fe24714b4,python,gateX,X,Recompute contrasts from released seals only,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/fill_p4_tables.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-009,scripts/p4/forbidden_parents.py,forbidden_parents.py,.py,3110,sha2-256:19f69d5fd61e60f4a6c2e7fa5d2bf30dfdb61c86cce23b00f47509ac3a235f1d,python,lib,R–T,Reject P1.1/P2/P3/smoke/d8 as parent,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/forbidden_parents.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-010,scripts/p4/gate0_accept.py,gate0_accept.py,.py,15935,sha2-256:fe1cfa47a4b5d263c3a621c301e040510882acec59e7ac5df17a245753bd84f3,python,gate0,0,Lockbox acceptance / filing lock,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/gate0_accept.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-011,scripts/p4/gate_a_source_pin.py,gate_a_source_pin.py,.py,8262,sha2-256:df3e831fdc9dbf15d3eb84b591b271fa70ad13b1b8cecccbbcee60e7589094bc,python,gateA,A,Source pin verification,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/gate_a_source_pin.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-012,scripts/p4/gate_b_raw_assets.py,gate_b_raw_assets.py,.py,4622,sha2-256:695bf1e6181d1e67c445745c637cab48ae30a579b0ea96a29bfbfd3f6b535489,python,gateB,B,Raw assets / corpus identity,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/gate_b_raw_assets.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-013,scripts/p4/gate_c_hygiene.py,gate_c_hygiene.py,.py,6193,sha2-256:8f693e341d7d1c06824697a7816fa4f601217af42562cdc4418d3dc42c8d1ddb,python,gateC,C,"Hygiene (no ClimbMix, no test in train)",#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/gate_c_hygiene.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-014,scripts/p4/gate_child_common.sh,gate_child_common.sh,.sh,2652,sha2-256:6b4b680a416dc2833016d6f28914895cf744fd3007ca72f7101efed7d2ff0b99,bash,gateRST,R–T,Shared child-train launcher,#!/usr/bin/env bash,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/gate_child_common.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-015,scripts/p4/gate_d_split_freeze.py,gate_d_split_freeze.py,.py,4989,sha2-256:d724c6715f3feb1cd5d79f1c0458c6d4a57a9a46a4eaa00545e0a92681b7b0ab,python,gateD,D,Split freeze,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/gate_d_split_freeze.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-016,scripts/p4/gate_e_c3_mix.py,gate_e_c3_mix.py,.py,14923,sha2-256:2325d01a7ef17d79bf67b36a94fe5f4540a07ea2ce5ad83f58065aa04bf24575,python,gateE,E,C3 token-share mix freeze,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/gate_e_c3_mix.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-017,scripts/p4/gate_e_shards.py,gate_e_shards.py,.py,3986,sha2-256:57a7e01b3a4801b1e02c3ab44ff98ff38945e0b8007483a9df4dda73da36f086,python,gateE,E,C1/C2 packed shards,#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/gate_e_shards.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P4-CODE-018,scripts/p4/gate_f_tokenizer.py,gate_f_tokenizer.py,.py,3411,sha2-256:98baa11ac68d1cb3cc74cdfa57d6ccb2430f10ff82f26103b5100c67cab1f2c8,python,gateF,F,Carry-forward tokenizer freeze (before E),#!/usr/bin/env python3,Code,8869,307591,p4-20260821T060032Z-92d63d4,scripts_p4/gate_f_tokenizer.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
