code_id,relative_path,filename,extension,bytes,sha2_256,language,role_family,gates_crosswalk,purpose,header_or_docstring,bingo_column,researchbox_id,aspredicted_id,p5_run_id,zip_member_path,upload_note
P5-CODE-001,scripts/p5/authorize_seed_gates.py,authorize_seed_gates.py,.py,2488,sha2-256:041e85a8e3009d6898ee9bf7cc0f53d0a5ba3af362889de2818b88d6b539cf3d,python,lib,I–V,Per-seed gate authorization,#!/usr/bin/env python3,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/authorize_seed_gates.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-002,scripts/p5/break_glass.py,break_glass.py,.py,1144,sha2-256:ab2e1b5e3e505f9407a12f84c6339c2cefca5b708ac7fbfc89921695f2818ea3,python,incident,any,Break-glass / deviation event writer,#!/usr/bin/env python3,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/break_glass.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-003,scripts/p5/continue_from_frozen.py,continue_from_frozen.py,.py,5595,sha2-256:66906f146b695045d2dc1ad7b9647369d056b0a5d9fab18599e24615590ec0dc,python,train,"R,S,T",Continue from frozen C0,#!/usr/bin/env python3,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/continue_from_frozen.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-004,scripts/p5/continue_from_u2_to_v3.sh,continue_from_u2_to_v3.sh,.sh,1702,sha2-256:f3f61270b410a0737481545c13bdd2ece4a55b6a3d084d01e1cd35aea6f3d1e2,bash,orchestrator,panel,Resume panel after S2 incident,#!/usr/bin/env bash,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/continue_from_u2_to_v3.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-005,scripts/p5/dummy_c3_test.py,dummy_c3_test.py,.py,1590,sha2-256:40cbec85a3c4b2df9a073e52789348553056acf930b88743f18dba7a7a1cfef2,python,test,0,Dummy lockbox harness,#!/usr/bin/env python3,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/dummy_c3_test.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-006,scripts/p5/dummy_p0t.py,dummy_p0t.py,.py,1189,sha2-256:d34c9e85eb33904de92ab928bbe877d8cdd0d4e40a7b438ba201bd6285e9e9ba,python,test,0,Dummy lockbox harness,#!/usr/bin/env python3,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/dummy_p0t.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-007,scripts/p5/env.cuda.sh,env.cuda.sh,.sh,1163,sha2-256:6a685de68419775cf088488767315db606b389ab9628bd9a05d227fcc448256b,bash,env,H–W,CUDA pod environment,#!/usr/bin/env bash,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/env.cuda.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-008,scripts/p5/env.sh,env.sh,.sh,2023,sha2-256:0aca9fe2dad30cb69960b974c3198fcb0e617ea7d9c097a85921bb77585d53cd,bash,env,A–W,CPU/local environment,# P5 environment — CPU gates A–G after Gate 0.,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/env.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-009,scripts/p5/evaluate_bpb.py,evaluate_bpb.py,.py,16272,sha2-256:78e77d9761fa4473344abd4773129e56f04561e615bdbcfad144ab8730ded977,python,evaluator,"P0-T,U,V",Official val/test BPB,#!/usr/bin/env python3,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/evaluate_bpb.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-010,scripts/p5/forbidden_parents.py,forbidden_parents.py,.py,2297,sha2-256:7f13af52a63d14e3b95e1a7ea6361210e1b5bd7dda52ab6841ff2b4e68a8cc64,python,lib,R–T,Reject foreign parents,#!/usr/bin/env python3,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/forbidden_parents.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-011,scripts/p5/gate0_accept.py,gate0_accept.py,.py,13744,sha2-256:7d92e73a244a60383e3f611effe64fef0bbfc1329d7ba5b3bbea176d2c9f2f76,python,gate0,0,Lockbox acceptance,#!/usr/bin/env python3,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/gate0_accept.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-012,scripts/p5/gate0_filing_lock.py,gate0_filing_lock.py,.py,5047,sha2-256:025fdd5aca7ceef7d5233efb7ed2b30bcf374cfc7820328ddbc67bc2de71783e,python,gate0,0,Filing lock writer,#!/usr/bin/env python3,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/gate0_filing_lock.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P5-CODE-013,scripts/p5/gate_a_source_pin.py,gate_a_source_pin.py,.py,5147,sha2-256:654a3d9796e2933e17434b89c478a16c07b2bb6ef4213fcba42896f21555cdb9,python,gateA,A,Source pin verification,#!/usr/bin/env python3,Code,8904,307836,p5-20260823T160632Z-439d1de5,scripts_p5/gate_a_source_pin.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
